                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.76228,                 1.4028,                 1.2295,                0.74155,                0.74605,                 0.8318,                0.67754,                0.64906,                 1.7037,                 1.1338,              0.0004638,              0.0004638,              0.0004638
                      2,                0.76266,                 1.4609,                 1.2471,                0.72245,                0.78667,                0.85217,                0.69257,                0.65004,                 1.8316,                 1.1483,              0.0008936,              0.0008936,              0.0008936
                      3,                0.83375,                 1.4568,                 1.3035,                0.75399,                0.72155,                0.77648,                0.63826,                0.66095,                 1.6317,                 1.1577,              0.0012762,              0.0012762,              0.0012762
                      4,                0.79727,                 1.5006,                 1.2567,                0.70166,                   0.76,                0.79798,                0.57769,                0.92822,                 1.7105,                 1.4705,              0.0012168,              0.0012168,              0.0012168
                      5,                0.80736,                 1.3864,                 1.2644,                0.61166,                0.76232,                0.72602,                0.55243,                0.80419,                 1.8206,                 1.2891,              0.0012168,              0.0012168,              0.0012168
                      6,                0.81128,                 1.4274,                 1.2714,                0.60104,                0.72175,                0.69607,                0.50002,                0.79762,                 2.2454,                 1.3519,              0.0011461,              0.0011461,              0.0011461
                      7,                0.77922,                 1.3757,                 1.2319,                0.68175,                0.75333,                 0.7807,                0.63183,                0.64282,                 1.8928,                 1.1471,              0.0010753,              0.0010753,              0.0010753
                      8,                0.80579,                 1.3729,                 1.2767,                0.65899,                0.69333,                0.72455,                 0.5789,                0.67037,                 1.8606,                 1.1688,              0.0010046,              0.0010046,              0.0010046
                      9,                 0.8356,                 1.3644,                 1.2683,                0.71449,                    0.7,                0.74044,                0.61239,                0.69521,                 1.6461,                 1.1817,             0.00093385,             0.00093385,             0.00093385
                     10,                0.82744,                 1.2937,                 1.2612,                0.75503,                0.77099,                0.80899,                 0.6682,                0.64362,                  1.435,                 1.1469,             0.00086312,             0.00086312,             0.00086312
                     11,                0.68114,                 1.6626,                 1.2524,                0.78961,                0.78347,                 0.8426,                0.70113,                0.67059,                 1.4612,                 1.1802,             0.00079238,             0.00079238,             0.00079238
                     12,                0.60672,                 1.4233,                 1.2147,                  0.743,                0.84339,                0.84941,                0.73444,                0.57782,                 1.4401,                 1.1051,             0.00072164,             0.00072164,             0.00072164
                     13,                0.63125,                 1.4736,                 1.2239,                0.73915,                 0.7496,                 0.8363,                0.70646,                0.57693,                 1.5985,                 1.1104,             0.00065091,             0.00065091,             0.00065091
                     14,                0.59376,                 1.4341,                 1.1832,                0.74099,                0.77143,                0.83481,                0.69335,                0.60672,                 1.4874,                 1.1478,             0.00058017,             0.00058017,             0.00058017
                     15,                0.56169,                 1.3848,                 1.1322,                 0.7485,                0.85282,                0.85616,                0.70335,                0.60647,                 1.3813,                 1.1443,             0.00050944,             0.00050944,             0.00050944
                     16,                0.55645,                 1.2541,                 1.1233,                0.79031,                0.81364,                0.87598,                0.74646,                0.58591,                 1.2769,                 1.1049,              0.0004387,              0.0004387,              0.0004387
                     17,                0.50951,                 1.2443,                 1.0787,                0.74254,                0.85072,                0.89245,                0.76759,                0.53621,                 1.2242,                 1.0452,             0.00036797,             0.00036797,             0.00036797
                     18,                0.52412,                 1.2259,                 1.0869,                0.85381,                0.75949,                0.89858,                0.76697,                 0.5351,                 1.2056,                  1.024,             0.00029723,             0.00029723,             0.00029723
                     19,                0.47668,                 1.0825,                  1.045,                0.90338,                0.82885,                0.92687,                0.80913,                0.50417,                 1.0871,                0.99334,              0.0002265,              0.0002265,              0.0002265
                     20,                0.44449,                 1.0294,                 1.0146,                0.90253,                0.83963,                0.93233,                0.82667,                0.49173,                 1.0565,                0.97989,             0.00015576,             0.00015576,             0.00015576
