               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12153,            0.014303,             0.04824,            0.044259,            0.033333,            0.023813,           0.0096788,            0.079483,            0.010337,            0.033972,              0.0838,              0.0018,              0.0018
                   1,             0.10252,            0.017442,            0.041942,            0.039179,            0.033333,            0.025121,           0.0083593,            0.060558,            0.011526,            0.032084,            0.066517,           0.0035168,           0.0035168
                   2,            0.087006,            0.021177,            0.037659,            0.071351,            0.046667,            0.048543,             0.01635,             0.05446,            0.011906,            0.029107,            0.049046,           0.0050456,           0.0050456
                   3,            0.078045,            0.023031,            0.037134,             0.10716,             0.21333,             0.11668,            0.043856,            0.047701,            0.012209,            0.027024,            0.031386,           0.0063862,           0.0063862
                   4,            0.068832,            0.023047,            0.034815,              0.1787,             0.30667,             0.22083,             0.10356,            0.046779,            0.012081,             0.02576,            0.013539,           0.0075388,           0.0075388
                   5,            0.063861,            0.022295,            0.034751,             0.33132,             0.51621,             0.32339,              0.1334,            0.039524,            0.011449,            0.025961,            0.007525,            0.007525,            0.007525
                   6,            0.065453,             0.02181,            0.034675,             0.58406,             0.37499,             0.41076,             0.19366,            0.042773,             0.01238,            0.024971,            0.007525,            0.007525,            0.007525
                   7,            0.059065,            0.020688,            0.032716,             0.53387,             0.41979,              0.4964,             0.26015,            0.044146,            0.012301,            0.024852,             0.00703,             0.00703,             0.00703
                   8,             0.05626,            0.020255,            0.032301,             0.39321,                0.48,             0.43956,             0.21644,            0.035093,           0.0095903,            0.024582,            0.006535,            0.006535,            0.006535
                   9,            0.054507,            0.020845,            0.032195,             0.34847,             0.61089,             0.42206,             0.22827,            0.034797,           0.0082637,            0.024215,             0.00604,             0.00604,             0.00604
                  10,            0.051231,            0.019675,            0.032327,              0.2806,                 0.6,             0.38005,             0.21221,            0.035534,           0.0076478,            0.024125,            0.005545,            0.005545,            0.005545
                  11,            0.050474,            0.020174,            0.031913,             0.39876,             0.65005,             0.51154,             0.31383,            0.027529,            0.007835,            0.023541,             0.00505,             0.00505,             0.00505
                  12,            0.046602,            0.019609,            0.030795,             0.30066,             0.67878,             0.42864,             0.25821,            0.030555,           0.0072115,            0.023308,            0.004555,            0.004555,            0.004555
                  13,            0.044231,            0.018137,            0.029955,             0.34472,             0.68667,             0.49326,              0.2447,             0.03312,           0.0070153,             0.02308,             0.00406,             0.00406,             0.00406
                  14,             0.04421,            0.015992,            0.031066,             0.31912,             0.64667,             0.45973,              0.3157,            0.031792,            0.006771,            0.023144,            0.003565,            0.003565,            0.003565
                  15,            0.040775,            0.017171,            0.029892,              0.4417,             0.70991,             0.58933,             0.37439,            0.026319,           0.0066285,            0.023009,             0.00307,             0.00307,             0.00307
                  16,            0.039494,            0.018115,            0.030647,             0.46217,                0.68,             0.60407,             0.42024,            0.023618,           0.0065135,            0.022635,            0.002575,            0.002575,            0.002575
                  17,            0.036449,            0.017037,            0.030824,             0.45306,             0.67627,             0.58452,             0.40087,            0.022842,           0.0064053,            0.022567,             0.00208,             0.00208,             0.00208
                  18,            0.036042,            0.015466,            0.029548,               0.489,             0.74667,               0.617,             0.44166,            0.020845,           0.0062857,            0.022583,            0.001585,            0.001585,            0.001585
                  19,            0.034886,            0.017069,            0.030728,             0.47699,             0.75486,             0.62222,             0.45971,            0.019979,           0.0061621,            0.022442,             0.00109,             0.00109,             0.00109
