                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.7805,                 2.8412,                 1.0905,                0.00512,                      1,                0.40076,                0.34576,                0.44075,                 2.7887,                0.80151,             0.00025722,             0.00025722,             0.00025722
                      2,                0.81696,                 2.1051,                 1.0817,                0.37116,                0.63959,                 0.4809,                0.42251,                0.53146,                 2.1112,                 0.8432,             0.00050256,             0.00050256,             0.00050256
                      3,                0.81046,                 1.7171,                  1.096,                0.43207,                0.64092,                0.53571,                0.43464,                0.65424,                 2.1881,                0.92118,             0.00072102,             0.00072102,             0.00072102
                      4,                0.87619,                 1.5459,                 1.1204,                0.60817,                0.72544,                0.65912,                0.53479,                0.72208,                 1.5305,                0.90308,              0.0009126,              0.0009126,              0.0009126
                      5,                0.86468,                 1.4859,                  1.115,                0.61626,                0.76367,                0.68424,                0.58639,                0.61957,                  1.841,                 0.8465,              0.0010773,              0.0010773,              0.0010773
                      6,                 0.8869,                 1.4428,                 1.0962,                0.57943,                 0.8634,                0.70779,                0.56679,                0.72015,                 1.7648,                0.89604,              0.0010753,              0.0010753,              0.0010753
                      7,                0.90338,                 1.4378,                 1.1291,                0.66637,                0.73735,                 0.7637,                0.64894,                0.61171,                  1.346,                0.88213,              0.0010753,              0.0010753,              0.0010753
                      8,                0.76601,                 1.3321,                 1.0575,                0.69468,                0.80748,                0.82397,                0.68427,                0.64762,                 1.3069,                0.89455,              0.0010046,              0.0010046,              0.0010046
                      9,                0.84898,                 1.3501,                 1.1033,                0.69441,                0.82835,                0.85279,                0.70705,                0.62342,                 1.3306,                0.87453,             0.00093385,             0.00093385,             0.00093385
                     10,                0.79248,                 1.2409,                 1.0827,                0.75739,                 0.7452,                0.82992,                0.66588,                0.62829,                 1.4426,                 0.8858,             0.00086312,             0.00086312,             0.00086312
                     11,                0.66566,                 1.5529,                0.95898,                0.60488,                0.86112,                0.80285,                0.68736,                0.57857,                 1.4824,                0.85894,             0.00079238,             0.00079238,             0.00079238
                     12,                0.62371,                 1.4328,                0.94231,                0.83809,                0.82876,                0.90424,                0.77774,                0.59789,                 1.0784,                0.85085,             0.00072164,             0.00072164,             0.00072164
                     13,                0.61113,                 1.2429,                0.92339,                0.84745,                0.89254,                0.93083,                0.81796,                0.55214,                 1.0548,                0.85546,             0.00065091,             0.00065091,             0.00065091
                     14,                0.57121,                 1.1915,                0.93286,                0.92347,                0.89409,                0.96163,                0.81839,                0.59255,                  1.106,                0.86631,             0.00058017,             0.00058017,             0.00058017
                     15,                0.61818,                  1.232,                0.91258,                0.86019,                0.88387,                 0.9485,                0.82606,                0.55331,                 1.0147,                0.84634,             0.00050944,             0.00050944,             0.00050944
                     16,                0.55197,                 1.1545,                0.88303,                0.92068,                0.93176,                0.97503,                0.86676,                0.52332,                0.87036,                0.83252,              0.0004387,              0.0004387,              0.0004387
                     17,                 0.5173,                 1.0348,                0.88807,                0.94866,                0.96963,                0.98585,                0.89648,                 0.4808,                 0.7895,                0.80883,             0.00036797,             0.00036797,             0.00036797
                     18,                0.53989,                0.95372,                0.86129,                0.96698,                0.98667,                0.98845,                0.90793,                0.41998,                0.72458,                0.79739,             0.00029723,             0.00029723,             0.00029723
                     19,                0.50899,                 1.0407,                0.89774,                0.94839,                0.94092,                0.99004,                0.90483,                 0.4199,                0.75083,                0.79851,              0.0002265,              0.0002265,              0.0002265
                     20,                0.47416,                0.91232,                 0.8561,                0.93754,                0.96672,                0.99094,                0.90712,                0.41453,                0.73609,                0.79909,             0.00015576,             0.00015576,             0.00015576
