                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.7492,                 1.3602,                 1.0542,                 0.8628,                0.89457,                0.94876,                0.80925,                0.52376,                0.94389,                0.86072,             0.00024293,             0.00024293,             0.00024293
                      2,                 0.7245,                 1.0785,                 1.0605,                0.72539,                0.88506,                0.91038,                0.79479,                0.52604,                 1.4129,                0.86738,             0.00047539,             0.00047539,             0.00047539
                      3,                0.76056,                 1.0966,                  1.063,                0.85245,                 0.8644,                0.92317,                0.79568,                0.52336,                 1.1628,                0.87947,             0.00068239,             0.00068239,             0.00068239
                      4,                0.79794,                 1.1291,                 1.0657,                0.79039,                0.87043,                 0.9304,                0.77844,                0.56935,                 1.0133,                0.89602,             0.00086392,             0.00086392,             0.00086392
                      5,                 0.7873,                 1.1696,                 1.1008,                 0.8054,                0.80183,                  0.885,                0.71567,                0.64542,                 1.0696,                0.92409,                0.00102,                0.00102,                0.00102
                      6,                 0.8004,                 1.1477,                  1.064,                0.77806,                0.79178,                0.88125,                0.69637,                0.74544,                 1.3137,                 1.0365,              0.0010753,              0.0010753,              0.0010753
                      7,                0.76244,                 1.0576,                 1.0632,                0.78258,                0.64673,                0.76051,                0.51683,                0.96706,                 1.5779,                 1.4114,              0.0010753,              0.0010753,              0.0010753
                      8,                0.72355,                 1.0102,                 1.0462,                 0.7268,                0.85035,                0.87973,                0.67979,                0.72678,                  1.152,                0.94672,              0.0010046,              0.0010046,              0.0010046
                      9,                0.74325,                 1.0203,                 1.0446,                0.92094,                0.86734,                0.95124,                0.79389,                 0.6397,                0.91939,                0.91636,             0.00093385,             0.00093385,             0.00093385
                     10,                0.79272,                 1.1082,                 1.0726,                0.91532,                0.91172,                0.95412,                0.82101,                 0.5741,                0.83327,                0.90654,             0.00086312,             0.00086312,             0.00086312
                     11,                0.56908,                 1.1647,                0.93509,                0.81364,                    0.9,                0.91868,                0.80236,                0.56348,                0.96995,                0.89872,             0.00079238,             0.00079238,             0.00079238
                     12,                0.59034,                 1.2085,                0.98421,                0.87525,                0.92745,                0.96793,                 0.8549,                0.53797,                0.87034,                0.87916,             0.00072164,             0.00072164,             0.00072164
                     13,                0.57712,                 1.0924,                0.93768,                0.93168,                0.93104,                0.97322,                0.86072,                0.49196,                0.78536,                0.86566,             0.00065091,             0.00065091,             0.00065091
                     14,                0.51916,                0.98472,                0.90589,                0.82098,                0.85574,                0.94807,                0.82012,                0.52763,                  1.048,                0.87112,             0.00058017,             0.00058017,             0.00058017
                     15,                0.58291,                0.96345,                0.93413,                0.79536,                0.89109,                0.95523,                0.84775,                0.51904,                0.97695,                0.86743,             0.00050944,             0.00050944,             0.00050944
                     16,                0.53298,                 0.9147,                0.92394,                0.95257,                0.94518,                 0.9835,                0.87693,                0.51612,                0.74026,                0.87357,              0.0004387,              0.0004387,              0.0004387
                     17,                0.51163,                0.89933,                 0.8762,                0.95211,                0.96261,                  0.981,                0.88385,                0.47612,                 0.6896,                0.85524,             0.00036797,             0.00036797,             0.00036797
                     18,                0.47341,                0.85526,                0.88472,                 0.9798,                0.93386,                0.99017,                0.90056,                0.43043,                0.66602,                0.84297,             0.00029723,             0.00029723,             0.00029723
                     19,                0.45928,                0.83677,                0.87937,                0.95595,                0.98188,                0.99287,                0.90463,                0.41588,                0.63898,                0.83657,              0.0002265,              0.0002265,              0.0002265
                     20,                0.45875,                0.83724,                0.89729,                0.98338,                 0.9987,                 0.9939,                0.90395,                0.41094,                0.60949,                0.83334,             0.00015576,             0.00015576,             0.00015576
