                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98186,                 2.8576,                 1.1547,                0.00628,                      1,                0.39663,                0.30682,                0.69388,                 2.8331,                0.92372,             0.00025722,             0.00025722,             0.00025722
                      2,                 1.0679,                 2.1056,                 1.1895,                0.41221,                0.60121,                0.46165,                0.36874,                0.83846,                 2.1612,                0.97691,             0.00050256,             0.00050256,             0.00050256
                      3,                 1.0077,                 1.7207,                 1.1622,                 0.3652,                0.51683,                0.38385,                0.28585,                  0.906,                 2.1399,                 1.0804,             0.00072102,             0.00072102,             0.00072102
                      4,                 1.0163,                 1.5893,                 1.1823,                0.42279,                0.86503,                0.55512,                0.35797,                 1.1249,                 2.1983,                 1.2004,              0.0009126,              0.0009126,              0.0009126
                      5,                0.99146,                  1.528,                 1.1322,                0.47162,                0.58621,                0.59087,                0.39726,                0.98828,                 2.7262,                  1.042,              0.0010773,              0.0010773,              0.0010773
                      6,                 1.0031,                 1.4955,                 1.1647,                0.42102,                0.83569,                 0.7066,                0.51422,                0.91877,                 2.0724,                 1.0232,              0.0010753,              0.0010753,              0.0010753
                      7,                  1.034,                 1.4689,                 1.1508,                0.53108,                0.85296,                0.70741,                0.52808,                0.91173,                   1.61,                 1.0307,              0.0010753,              0.0010753,              0.0010753
                      8,                 1.0175,                  1.418,                 1.1864,                 0.6186,                0.83304,                0.78363,                0.61683,                0.79824,                 1.5009,                0.97067,              0.0010046,              0.0010046,              0.0010046
                      9,                0.94835,                 1.2989,                 1.1364,                0.72058,                0.80207,                0.85254,                0.65517,                0.80104,                 1.3453,                0.96073,             0.00093385,             0.00093385,             0.00093385
                     10,                0.95966,                 1.2867,                 1.1382,                 0.6332,                0.86602,                0.84618,                0.65012,                0.81119,                 1.3771,                0.94935,             0.00086312,             0.00086312,             0.00086312
                     11,                0.84968,                 1.5905,                 1.0378,                0.84314,                0.77533,                0.88022,                0.67514,                0.86042,                 1.1259,                0.97159,             0.00079238,             0.00079238,             0.00079238
                     12,                0.86295,                 1.4535,                 1.0307,                 0.6712,                0.89589,                0.87643,                0.68218,                0.88968,                 1.4025,                0.99989,             0.00072164,             0.00072164,             0.00072164
                     13,                 0.8336,                 1.3687,                 1.0231,                0.84958,                0.93188,                0.95024,                0.74773,                0.79896,                 1.0687,                0.97274,             0.00065091,             0.00065091,             0.00065091
                     14,                0.83111,                 1.2204,                 1.0066,                0.77869,                 0.9061,                0.91969,                0.71044,                0.83557,                 1.1615,                0.97052,             0.00058017,             0.00058017,             0.00058017
                     15,                0.79511,                   1.23,                 1.0103,                0.78529,                0.85948,                0.91316,                0.72957,                0.75944,                 1.1471,                0.92884,             0.00050944,             0.00050944,             0.00050944
                     16,                0.73191,                 1.1747,                0.95762,                0.84402,                0.93984,                0.94149,                0.77483,                0.73718,                  1.032,                0.91646,              0.0004387,              0.0004387,              0.0004387
                     17,                0.73445,                 1.1839,                0.96935,                 0.9017,                0.89581,                0.96586,                 0.7806,                0.76386,                0.96405,                0.93735,             0.00036797,             0.00036797,             0.00036797
                     18,                0.77684,                 1.1151,                0.99676,                0.93319,                0.91039,                0.97129,                0.78171,                0.79673,                0.88527,                0.95554,             0.00029723,             0.00029723,             0.00029723
                     19,                 0.7316,                 1.0713,                0.99279,                0.91547,                0.96131,                0.98118,                0.79387,                0.77806,                0.83723,                0.94181,              0.0002265,              0.0002265,              0.0002265
                     20,                0.72803,                 1.0862,                0.97967,                0.95474,                0.95162,                0.98456,                0.81083,                0.72982,                0.80014,                 0.9245,             0.00015576,             0.00015576,             0.00015576
